,feat,feattype,map_estimate,is_sturdy,Feature Type
0,1,gene,0.0,True,Gene
1,10,gene,0.0,True,Gene
2,100,gene,0.0,True,Gene
3,1000,gene,0.0,True,Gene
4,10000,gene,0.0,True,Gene
5,100008586,gene,0.0,True,Gene
6,10001,gene,0.0,True,Gene
7,10002,gene,0.0,True,Gene
8,10003,gene,0.0,True,Gene
9,100033411,gene,0.0,True,Gene
10,100037417,gene,0.0,True,Gene
11,10004,gene,0.0,True,Gene
12,100049587,gene,0.0,True,Gene
13,10005,gene,0.0,True,Gene
14,10006,gene,0.0,True,Gene
15,10007,gene,0.0,True,Gene
16,10008,gene,0.0,True,Gene
17,10009,gene,0.0,True,Gene
18,1001,gene,0.0,True,Gene
19,10010,gene,0.0,True,Gene
20,100101267,gene,0.0,True,Gene
21,100101268,gene,0.0,True,Gene
22,100101467,gene,0.0,True,Gene
23,100101490,gene,0.0,True,Gene
24,10011,gene,0.0,True,Gene
25,100113407,gene,0.0,True,Gene
26,100125288,gene,0.0,True,Gene
27,100126572,gene,0.0,True,Gene
28,100127206,gene,0.0,True,Gene
29,100127983,gene,0.0,True,Gene
30,100128071,gene,0.0,True,Gene
31,100128327,gene,0.0,True,Gene
32,100128553,gene,0.0,True,Gene
33,100128569,gene,0.0,True,Gene
34,100128731,gene,0.0,True,Gene
35,100128908,gene,0.0,True,Gene
36,100128927,gene,0.0,True,Gene
37,100129053,gene,0.0,True,Gene
38,100129128,gene,0.0,True,Gene
39,100129216,gene,0.0,True,Gene
40,100129239,gene,0.0,True,Gene
41,100129250,gene,0.0,True,Gene
42,100129271,gene,0.0,True,Gene
43,100129278,gene,0.0,True,Gene
44,100129361,gene,0.0,True,Gene
45,100129407,gene,0.0,True,Gene
46,100129480,gene,0.0,True,Gene
47,100129515,gene,0.0,True,Gene
48,100129520,gene,0.0,True,Gene
49,100129543,gene,0.0,True,Gene
50,100129583,gene,0.0,True,Gene
51,100129654,gene,0.0,True,Gene
52,100129669,gene,0.0,True,Gene
53,100129792,gene,0.0,True,Gene
54,100129842,gene,0.0,True,Gene
55,100129924,gene,0.0,True,Gene
56,100129969,gene,0.0,True,Gene
57,10013,gene,0.0,True,Gene
58,100130086,gene,0.0,True,Gene
59,100130274,gene,0.0,True,Gene
60,100130301,gene,0.0,True,Gene
61,100130302,gene,0.0,True,Gene
62,100130311,gene,0.0,True,Gene
63,100130348,gene,0.0,True,Gene
64,100130361,gene,0.0,True,Gene
65,100130519,gene,0.0,True,Gene
66,100130520,gene,0.0,True,Gene
67,100130613,gene,0.0,True,Gene
68,100130705,gene,0.0,True,Gene
69,100130733,gene,0.0,True,Gene
70,100130742,gene,0.0,True,Gene
71,100130771,gene,0.0,True,Gene
72,100130827,gene,0.0,True,Gene
73,100130933,gene,0.0,True,Gene
74,100130958,gene,0.0,True,Gene
75,100130988,gene,0.0,True,Gene
76,100131017,gene,0.0,True,Gene
77,100131137,gene,0.0,True,Gene
78,100131187,gene,0.0,True,Gene
79,100131211,gene,0.0,True,Gene
80,100131244,gene,0.0,True,Gene
81,100131303,gene,0.0,True,Gene
82,100131378,gene,0.0,True,Gene
83,100131390,gene,0.0,True,Gene
84,100131439,gene,0.0,True,Gene
85,100131608,gene,0.0,True,Gene
86,100131755,gene,0.0,True,Gene
87,100131801,gene,0.0,True,Gene
88,100131827,gene,0.0,True,Gene
89,100131897,gene,0.0,True,Gene
90,100131902,gene,0.0,True,Gene
91,100131980,gene,0.0,True,Gene
92,100132015,gene,0.0,True,Gene
93,100132074,gene,0.0,True,Gene
94,100132202,gene,0.0,True,Gene
95,100132247,gene,0.0,True,Gene
96,100132304,gene,0.0,True,Gene
97,100132386,gene,0.0,True,Gene
98,100132396,gene,0.0,True,Gene
99,100132399,gene,0.0,True,Gene
100,100132406,gene,0.0,True,Gene
101,100132463,gene,0.0,True,Gene
102,100132476,gene,0.0,True,Gene
103,100132916,gene,0.0,True,Gene
104,100132963,gene,0.0,True,Gene
105,100132994,gene,0.0,True,Gene
106,100133053,gene,0.0,True,Gene
107,100133093,gene,0.0,True,Gene
108,100133251,gene,0.0,True,Gene
109,100133267,gene,0.0,True,Gene
110,100133315,gene,0.0,True,Gene
111,100133941,gene,0.0,True,Gene
112,100134444,gene,0.0,True,Gene
113,100134934,gene,0.0,True,Gene
114,100134938,gene,0.0,True,Gene
115,100137047,gene,0.0,True,Gene
116,100137049,gene,0.0,True,Gene
117,10014,gene,0.0,True,Gene
118,100141515,gene,0.0,True,Gene
119,100142659,gene,0.0,True,Gene
120,100144748,gene,0.0,True,Gene
121,10015,gene,0.0,True,Gene
122,100151643,gene,0.0,True,Gene
123,10016,gene,0.0,True,Gene
124,10017,gene,0.0,True,Gene
125,100170229,gene,0.0,True,Gene
126,100170765,gene,0.0,True,Gene
127,100170841,gene,0.0,True,Gene
128,10018,gene,0.0,True,Gene
129,100188893,gene,0.0,True,Gene
130,10019,gene,0.0,True,Gene
131,100190949,gene,0.0,True,Gene
132,100191040,gene,0.0,True,Gene
133,1002,gene,0.0,True,Gene
134,10020,gene,0.0,True,Gene
135,10021,gene,0.0,True,Gene
136,10022,gene,0.0,True,Gene
137,10023,gene,0.0,True,Gene
138,10024,gene,0.0,True,Gene
139,10025,gene,0.0,True,Gene
140,10026,gene,0.0,True,Gene
141,100271715,gene,0.0,True,Gene
142,100271846,gene,0.0,True,Gene
143,100271849,gene,0.0,True,Gene
144,100271927,gene,0.0,True,Gene
145,100272147,gene,0.0,True,Gene
146,100287045,gene,0.0,True,Gene
147,100287144,gene,0.0,True,Gene
148,100287171,gene,0.0,True,Gene
